id,author,bookName
3737,"the American Novelist and Historian, Winston Churchill","A Far Country, Book 2"
37371,Madison Julius Cawein,The Triumph of Music
37373,Charles A. Eastman,Indian Scout Talks
37374,Charles Bradlaugh,The True Story of my Parliamentary Struggle
3738,"the American Novelist and Historian, Winston Churchill","A Far Country, Book 3"
37381,Jacob Grimm and Wilhelm Grimm,Snowdrop and Other Tales
37387,John Donne,Letters to Severall Persons of Honour
3739,"the American Novelist and Historian, Winston Churchill","A Far Country, Books 1-3"
37392,Paul Bewsher,'Green Balls'
37399,Eug? Sue,The Executioner's Knife
374,Ambrose Bierce,Fantastic Fables
37404,J. H. Kurtz,"Church History, Vol. 3 of 3"
37405,Lucy Foster Madison,A Maid at King Alfred's Court
37406,Henryk Sienkiewicz,On the Field of Glory
37409,Arvede Barine,Louis XIV and La Grande Mademoiselle
3741,Thomas Paine,The American Crisis
37411,Archibald Henry Sayce,A Primer of Assyriology
37412,Basil King,The Empty Sack
37413,Headon Hill,The Duke Decides
37415,Charles King,Trumpeter Fred
37416,Alexandre Dumas,The Princess of Bagdad
37418,Herbert Strang,Palm Tree Island
3742,Thomas Paine,The Rights Of Man
37423,John Dewey,How We Think
37424,Henry James,Views and Reviews
37425,Henry James,Within the Rim and Other Essays
37426,Henryk Sienkiewicz,Whirlpools
37429,Lillian Elizabeth Roy,Polly and Her Friends Abroad
3743,Thomas Paine,The Age Of Reason
37433,Katherine Stokes,The Motor Maids Across the Continent
37434,Katherine Stokes,The Motor Maids' School Days
37437,Fanny Burney,The Wanderer 
37438,Fanny Burney,The Wanderer 
37439,Fanny Burney,The Wanderer 
3744,Charlotte M. Yonge,The Trial
37440,Fanny Burney,The Wanderer 
37441,Fanny Burney,The Wanderer 
37444,Olive Hyde Foster,Cookery for Little Girls
37448,Raymond Zinke Gallun,Comet's Burial
37449,F. Anstey,Puppets at Large
37450,Henry S. Fitch,Aspects of Reproduction and Development in the Prairie Vole (Microtus ochrogaster)
37451,Dorothy Canfield,Rough-Hewn
37452,Elizabeth Barrett Browning,"The Poetical Works of Elizabeth Barrett Browning, Vol. I"
37453,Charles Paul de Kock,The Barber of Paris
37454,Laura Dent Crane,The Automobile Girls Along the Hudson
37458,Lillian Elizabeth Roy,Natalie: A Garden Scout
37459,Lillian Elizabeth Roy,Polly in New York
37463,Ellen Glasgow,The Builders
37464,Clifton Johnson,Bluebeard
37467,Mary J. Holmes,Daisy Thornton
37470,William Le Queux,The Great War in England in 1897
37476,Mary Jane Holmes,Jessie Graham
37477,Clarence L. Cullen,Taking Chances
